project,repeat,metric,NB,XGBoost_ablation,XGBoost_proposed
pytorch,26,time,0.016546010971069336,0.5579037666320801,0.6591777801513672
pytorch,27,time,0.015623092651367188,0.5773818492889404,0.7082300186157227
pytorch,28,time,0.01551365852355957,0.5713450908660889,0.6834309101104736
pytorch,29,time,0.01570892333984375,0.6265480518341064,0.7289950847625732
tensorflow,0,acc,0.6420581655480985,0.9105145413870246,0.9172259507829977
tensorflow,1,acc,0.6935123042505593,0.901565995525727,0.9082774049217002
tensorflow,2,acc,0.6845637583892618,0.8814317673378076,0.8903803131991052
tensorflow,3,acc,0.6733780760626398,0.8747203579418344,0.8814317673378076
tensorflow,4,acc,0.668903803131991,0.8926174496644296,0.8859060402684564
tensorflow,5,acc,0.6599552572706935,0.8926174496644296,0.8993288590604027
tensorflow,6,acc,0.680089485458613,0.8926174496644296,0.8903803131991052
tensorflow,7,acc,0.6845637583892618,0.8747203579418344,0.8814317673378076
tensorflow,8,acc,0.6733780760626398,0.8859060402684564,0.87248322147651
tensorflow,9,acc,0.6353467561521253,0.883668903803132,0.8859060402684564
tensorflow,10,acc,0.6599552572706935,0.9149888143176734,0.9172259507829977
tensorflow,11,acc,0.6554809843400448,0.9038031319910514,0.9082774049217002
tensorflow,12,acc,0.6778523489932886,0.901565995525727,0.8948545861297539
tensorflow,13,acc,0.6711409395973155,0.9105145413870246,0.901565995525727
tensorflow,14,acc,0.6711409395973155,0.8926174496644296,0.8948545861297539
tensorflow,15,acc,0.6532438478747203,0.8791946308724832,0.8814317673378076
tensorflow,16,acc,0.6554809843400448,0.8814317673378076,0.8903803131991052
tensorflow,17,acc,0.668903803131991,0.8568232662192393,0.8814317673378076
tensorflow,18,acc,0.6666666666666666,0.883668903803132,0.8747203579418344
tensorflow,19,acc,0.6510067114093959,0.8769574944071589,0.8680089485458613
tensorflow,20,acc,0.6599552572706935,0.8747203579418344,0.8769574944071589
tensorflow,21,acc,0.639821029082774,0.87248322147651,0.8747203579418344
tensorflow,22,acc,0.6263982102908278,0.9082774049217002,0.9060402684563759
tensorflow,23,acc,0.6890380313199105,0.8926174496644296,0.8948545861297539
tensorflow,24,acc,0.6756152125279642,0.9060402684563759,0.8970917225950783
tensorflow,25,acc,0.6644295302013423,0.883668903803132,0.8926174496644296
tensorflow,26,acc,0.6174496644295302,0.8881431767337807,0.9038031319910514
tensorflow,27,acc,0.6733780760626398,0.883668903803132,0.8747203579418344
tensorflow,28,acc,0.6286353467561522,0.8970917225950783,0.901565995525727
tensorflow,29,acc,0.6532438478747203,0.9105145413870246,0.901565995525727
tensorflow,0,prec,0.5470338983050848,0.8748253918981841,0.8788733426122628
tensorflow,1,prec,0.5638087512041778,0.8543956043956045,0.8548259493670887
tensorflow,2,prec,0.5981330092797171,0.8101088101088101,0.8276881720430107
tensorflow,3,prec,0.5819246208742195,0.8018888888888889,0.8116666666666666
tensorflow,4,prec,0.5847203363847401,0.8255095222185098,0.8136833046471601
tensorflow,5,prec,0.5446141479099679,0.8205882352941176,0.8329022988505748
